	author	title	pages	letter	text
546	Bellin	Nuit	123		Sur le seuil, M. Dabaud aperçut une grande figure élancée, enveloppée d'un grand schall qui la couvrait de la tête aux pieds.##Cette vision enchaîna ses jambes. Il resta comme pétrifié au milieu de la chambre. 
555	Bellin	Nuit	109		"Ce fut jusque-là que madame de Menon, Émilie, ""qui était une blonde intéressante, et Julia sa cadette, qui avait un caractère plus vif"", accompagnèrent Ferdinand. "
559	Bellin	Nuit	96		De plus en plus étonné de la présence d'esprit de M. Dabaud, le moine était embarrassé pour lui répondre, lorsque la couverture du tombeau de marbre noir, qui était à l'entrée du caveau, s'agita et se souleva lentement : M. Dabaud en vit sortir un fantôme qui était enveloppé de la tête aux pieds d'un long drap blanc ; il n'eut pas de peine à le reconnaître pour le même qui lui avait apparu dans le salon de son château, pour l'ombre du chevalier de Germeuil. Sa blessure au côté gauche paraissait encore, son linceul était toujours inondé de sang.##-- Hélas, mon père, s'écria M. Dabaud effrayé en cachant son visage dans la draperie du religieux, on dirait que nous sommes devant la sépulture du château de Wals, comme Célestine ! 
560	Bellin	Nuit	94		"Mon père, que signifie tout ceci, demanda-t-il en se tournant du côté de son compagnon ?##Il fut frappé en ce moment ""de la figure vénérable du moine enveloppé de longues draperies blanches, et dont le capuchon, rejeté par-derrière, faisait ressortir la figure pâle où l'éclat des flambeaux laissait voir l'affliction adoucie par la pitié, et quelques cheveux blancs échappés au ravages du temps2"". Qu'on juge si sa surprise dut redoubler quand il vit ce peu de cheveux blancs se dresser entièrement et éprouver une agitation effrayante. "
567	Bellin	Nuit	79		"La voix se tut, et M. Dabaud aperçut une lueur qui passait faiblement par-dessous une porte basse et étroite qui n'était qu'entrouverte.##[...]##Après cette réflexion judicieuse, que M. Dabaud tirait, comme on le voit, de celle du signor Verezzi, il poussa la porte ""qui, à sa grande surprise, s'ouvrit immédiatement. Il découvrit une personne à genoux devant le crucifix"", et cette personne était ""un moine vénérable, dont les cheveux blancs, la physionomie pâle et mélancolique le frappèrent de respect1"". La table sur laquelle il était appuyé était couverte d'un tapis déchiré, et on y voyait ""une tête de mort, quelques ossements humains, un grand livre et un sablier2"". "
569	Bellin	Nuit	70		En ce moment, M. Dabaud étonné fixa de nouveau ses yeux sur la colonnade ; et à l'aide de cette lueur qui brillait dans le lointain, il distingua une grande figure qui errait entre les arcades et marchait d'un pas grace et mesuré. La voix souterraine répéta en même temps :##-- Franchis la grille, ou tu vas trouver la mort ici. 
576	Bellin	Nuit	61		"Il se hasarda à tourner la tête et aperçut derrière sa chaise une grande figure pâle et livide dont le visage décharné portait l'empreinte lugubre de la mort. Ses yeux ternes paraissaient fixes dans leurs orbites, ses joues décolorées étaient creuses et tirées. Sa bouche éprouvait un mouvement continuel et convulsif, et ses dents craquaient avec violence. Ce fantôme était couvert de la tête aux pieds d'un linceul blanc ; à la hauteur du sein la toile était déchirée et ""parsemée de gouttes de sang, qui coulaient d'une large blessure qu'on voyait à son côté"" gauche : les mains mêmes du spectre étaient ensanglantées. ##M. Dabaud fit un cri aussi perçant, aussi déchirant que jamais personne ait pu en faire en pareille occasion. Dubert étonné courut à lui et le saisit dans ses bras en lui demandant ce qui causait son épouvante. ##-- Juste ciel ! quoi ! tu ne le vois pas ? Tiens, là. "
577	Bellin	Nuit	61		Comme il achevait ces paroles, l'horloge du château sonna dix heures : il ne put s'empêcher de tressaillir. Au moment même où le marteau faisait résonner le timbre pour la dernière fois, M. Dabaud se sentit frappé légèrement sur l'épaule ; il entendit une voix sépulcrale qui lui adressait ces mots avec un accent traînant et sourd : ##-- Eh bien ! je te somme de ta parole, suis-moi. ##Muet de surprise et d'effroi, il pâlit, il frissonna, mais, comme il vit que Dubert n'éprouvait aucune altération dans ses traits et conservait le même air de tranquillité qu'auparavant, il crut que son imagination l'avait égaré, et que le coup qu'il avait cru recevoir, que la voix qu'il avait cru entendre, n'étaient qu'un effet du délire de son esprit échauffé par la conversation.##Il se hasarda á tourner la tête [...] 
582	Bellin	Nuit	48		Renfermé dans son cabinet toute la journée, M. Dabaud ne reparaît que le soir. En vain dans l'après-dîner on va frapper à sa porte ; la jolie femme la plus capricieuse qui boude contre son amant n'est pas plus inflexible. Enfin la cloche du souper sonne ; M. Dabaud se montre : mais il a les yeux hagards, mais il est pâle, mais sa démarche est tremblante ; on croirait voir Isaure sortant du cabinet où elle a trouvé les têtes de toutes les femmes de Raoul Barbe-Bleue, ou le Cimbre fuyant épouvanté à l'aspect de Marius qu'il était venu assassiner...
583	Bellin	Nuit	47		Dubert fait un geste, et tout le monde se retire. Un petit homme frais et vermeil qui s'était fait médecin depuis qu'il n'y avait plus d'abbé dans la société, mais qui n'avait cependant pas oublié que jadis il était chargé de chanter les couplets furtifs de boudoir et de toilette, s'avance avec grâce et demande d'un ton mielleux à lire les titres. Tout fier d'être accepté, il tousse, se mouche, crache, prend haleine deux ou trois fois ; et chacun le menton allongé sur l'épaule de son voisin, attend ce qui va sortir de la bouche de l'oracle. 
586	Révéroni	Pauliska	116		Je me vois donc, à demi-nu, face à face avec une beauté que je soupçonnais avoir seize ans au plus, à l'oeil noir, aussi grand que l'ouverture de son voile ; au sein agité, à la contenance attendrie. [...]##Alors je vis couler des larmes, le crayon lui échapper, et son sein palpiter avec violence. 
587	Révéroni	Pauliska	32		[1] Le 20 juillet, nous dormions paisiblement au chateau. [2] Ma société était composée du [1] Le 20 juillet, nous dormions paisiblement au chateau. [2] Ma société était composée du chevalier de Morsall, capitaine de vaisseau, vieillard respectable, blanchi par l'âge et ses courses maritimes, souffrant sans cesse d'infirmités et dissimulant ses douleurs avec une grâce, une gaieté, une bonté touchante, qui me portaient à le traiter comme un père. [3] J'avais près de moi Mme de Visbourg, ma tante, chanoinesse de Prague, femme pieuse et adorée dans son chapitre comme dans ma terre ; [4] le jeune Ernest Pradislas, chevalier de Malte, âgé de vingt et un ans, doué d'une douceur, d'un caractère et d'une figure bien faits pour justifier les sentiments qu'il m'inspira dans la suite. [5] Je passe sous silence quatre ou cinq êtres nuls, de bonne compagnie, mais dont je n'aurai point occasion de parler. [6] Nous formions en tout neuf personnes, y compris mon fils, âgé de huit ans, être touchant par son affection précoce, par un courage, une force d'âme bien rare, cher enfant dont le souvenir m'arrachera sans cesse des larmes !... [7] À deux heures, un bruit confus de voix se fit entendre dans le jardin ; bientôt ma femme de chambre s'écria des mansardes que la grange était en feu, et qu'une foule de Russes armés s'avançait avec des brandons allumés.##
590	Révéroni	Pauliska	35		Non ! il n'est qu'une mère, qu'une amante qui puisse sentir une partie de ce que j'éprouvai alors ! Tremblant pour mon fils, séparée d'un ami, incertaine sur l'avenir, me trouvant, après la plus brillante fortune, à pied, dans la fangue, seule, vêtue de bure, sur cette même route que je brûlais la veille sous un char rapide et élégant : qu'on juge de ce que j'aurais souffert si ma pensée dominante ne se fût portée sur Ernest... 
591	Révéroni	Pauliska	42		[1] [...] et c'est dans un désordre assez élégant que je reçus le baron d'Olnitz, qui vint à une [1] [...] et c'est dans un désordre assez élégant que je reçus le baron d'Olnitz, qui vint à une heure s'informer de ma nuit et prévenir mes désirs. [2] M. d'Olnitz était un grand homme de cinquante-cinq ans à peu près, maigre, marqué extrêmement de la petite vérole, ayant déjà les cheveux blancs, l'oeil vif, pénétrant, et lançant un regard étincelant d'un feu qui me donna par la suite des chagrins bien cruels. [3] Du reste, homme de cour, froid en apparence, silencieux, et d'un ton qui inspirait une confiance entière en ses procédés. [4] Il ne pénétra chez moi qu'après des protestations, des excuses réitérées, avançant pas a pas, de pièce en pièce, affectant de baisser les yeux, s'informant d'une voix douce et altérée de ma santé, et ce ne fut après mille propos détournés qu'il me questionna adroitement sur mes projets ultérieurs.
592	Révéroni	Pauliska	49		Le cercle était brillant chez madame de Furstemberg ; on y forma le projet d'une course aux eaux de Tornik. Je promis de m'y laisser entraîner. M. d'Olnitz ne me quittait point ; [1] et je me serais bien ennuyée sans une sonate de sistre qu'un officier d'un régiment esclavon joua avec un art incroyable, et à laquelle je ne pus refuser mon attention. [2] Il chanta aussi plusieurs romances qu'il paraissait m'adresser en estropiant de son mieux le polonais. [3] Il ne fit alors que me prouver qu'avec de beaux traits et des talents on peut être fort ridicule. [4] Ses yeux mourants, ses balancements de tête, cet air évanoui d'amour, enchanteurs peut-être pour une Vénitienne, ne purent que m'amuser, [5] et je sortis fort gaie de ce cercle bizarre.
595	Révéroni	Pauliska	66		Le troisième jour, le baron parut. J'eus peine à le reconnaître. Je crus voir un charmant jeune homme : une perruque de blond cendré, à cheveux bouclés artistiquement, chachait absolument ses rides, et sa mise était des plus élégantes. Son entrée fut légère, vive ; il vint tomber à mes pieds avec grâce, saisit ma main avec tendresse et la porta sur mon coeur. Il détacha ensuite la bandelette de ma jambe, et voyant la blessure rosée, il poussa des cris de joie et ne fit qu'une chaine de baisers jusqu'à mon genou. ...
600	Révéroni	Pauliska	80-81		"[...] et plongés tous deux dans notre rêverie, nous arrivâmes au hameau de Roséa.##Sous un [...] et plongés tous deux dans notre rêverie, nous arrivâmes au hameau de Roséa.##Sous un rocher à pic, dominé par deux sapins, seule verdure qui frappait nos yeux, était une chaumière d'un aspect misérable ; c'était la demeure du père de Jeanna. Nous entrâmes : la figure martiale du bon Solamor se décomposa alors d'une manière visible. L'effroi, la joie, les pleurs, la honte de paraître faible s'y mêlèrent à la fois et se peignirent sur ses traits basanés. Jamais physionomie plus guerrière n'annonça plus d'amour. Personne ne s'offrit à nos yeux ; nous allâmes jusqu'à l'étable, qui dans ces contrées froides est le salon du logis ; là, nous aperçûmes un vieillard qui lisait, et Jeanna qui filait à la quenouille.##Je l'avoue, la beauté de cette femme me frappa : ses yeux baissés ne m'avaient pas encore montré leur expression ; mais lorsque se levant du bruit que nous fîmes, ils peignirent à la fois la surprise, l'ivresse, la pudeur et l'abandon d'une femme amante dans les bras de l'époux qu'elle attend, il fut impossible de ne pas se troubler d'admiration. ""Solamor !"" s'écria-t-elle avec la plus vive sensibilité [...]."
601	Révéroni	Pauliska	83		"Le souper frugal fut touchant par la cordialité des bons montagnards et l'ivresse du bonheur qui se lisait dans les yeux des amants. ""Solamor n'est pas riche, me dit le vieillard, mais il a des trésors de son âme ; c'est le plus brave homme du régiment de Beichalovitz, et cela de l'aveu de ses camarades. Il nourrit sa pauvre mère sur sa paye, il a sauvé la vie à plus d'un voyageur, il est doux et timide comme le chamois des montagnes et intrépide comme un lion. Ma fille a voulu se donner un ami et non un maître."
603	Révéroni	Pauliska	90		Je fus bientôt détrompée, et vis entrer un jeune homme, d'une figure douce et tendre, que je reconnus pour Français à la premiére vue. 
604	Bellin	Nuit	41-42		 M. Dabaud était en train de s'entretenir de romans, quand son fils entra ; il ne crut pas changer de conversation en lui parlant de ses amours. ##-- Citoyen mon fils, lui dit-il d'un ton grave, vous voilà dans l'âge de donner des républicains à la République, et il est temps que vous songiez à jouir de tous les droits de l'homme. ##-- Vous savez bien, mon père, que je ne demande pas mieux, et que depuis longtemps mon coeur s'est donné.##-- Mon ami, c'est encore une de ces phrases que j'aie lues si souvent que je ne peux plus les supporter ; enfin, voyons, qui est-ce qui a reçu ce beau présent ?##-- Mon père, une jeune personne charmante, qui joint à de grands yeux bleus le plus aimable sourire et la... ##-- Eh ! mon ami, mon ami ! voulez-vous me vieillir de vingt ans ? Le portrait de votre héroi:ne !... Comment s'appelle-t-elle ?##-- Ursule. //##-- Ursule ! passe encore ; le nom n'est pas trop commun. De qui est-elle fille ?##-- Mon père, elle descent d'une de ces familles qui dans les temps les plus reculés de la ci-devant monarchie...##-- Citoyen mon fils, grâce, grâce de sa généalogie ! On dirait vraiment que vous savez par coeur les romans qui sont dans ma bibliothèque. ##[=2058-Diderot (1778-80) Jacques=]
613	Révéroni	Pauliska	113		A la pointe du jour, la grande porte s'ouvrit et je vis entrer tous les membres de l'association, méconnaissables cette fois, et vêtues à peu près comme les pénitents blancs. Un long voile ne laissait paraître que leurs yeux, il était impossible de distinguer leur traits ; la taille seule et le pied pouvait laisser soupçonner les grâces de la personne. Au milieu de ce cortège était une jeune misanthrophile, vêtue de même, marchant seule et qui me parut d'une tournure céleste. Elle était couronnée de roses et de jasmins entrelacés ; ses guirlandes étaient pareilles ; derrière elle une ancienne soeur portait des manuscrits. On s'assit, la jeune néophyte se plaça hors des rangs, et la présidente parla ainsi : --##À nouveau, la prise de parole met fin en quelque sorte à la description; en tout cas il n'y a pas de terminaison par la MN, mais simplement une continuation du récit, qui découle de la description tout en la terminant, évidemment. 
615	Révéroni	Pauliska	125		Ce dieu [Jupiter] ne tarda pas à paraître. Monsieur Grimm, soutenu par deux marmitons de Ce dieu [Jupiter] ne tarda pas à paraître. Monsieur Grimm, soutenu par deux marmitons de troisième classe, se fît entendre sur l'escalier qui pliait sous son poids. Son ventre menaçant passa par la porte longtemps avant sa large face, qui, saupoudrée à la neige, composée d'un front rouge, d'un gros nez bleu, de lèvres cramoisies et d'un menton orange, ne ressemblait pas mal à l'arc-en-ciel. Messir feut-il payir enfin, cria-t-il du fond de son ventre.
616	Révéroni	Pauliska	128-129		"Nous fûmes rendu au quartier à la pointe du jour, présentés au capitaine chef du dépôt, et de là renvoyés à Trench, caporal chargé de notre installation.##Trench était un Hongrois à la face verte, au nez écrasé, à l'oeil d'encre ombragé de sourcils épais. Cette belle figure était surmontée d'un front de la largeur d'un doigt, carré et terminé par des crins huileux qui allaient tous se réunir en un énorme faisceau noir qui prenait le nom de queue. Trench grinça des dents, en croyant sourire pour nous faire accueil. ""Petite Polone, bien choli, tous deux"", dit-il en mordant son poing et agitant sa canne avec joie. Il me parut que Trench avait un goût décidé pour caresser les épaules polonaises, et je vis que ce rustre nous préparait de la tablature. ""Venir au maccazzin habillir"", dit-il en nous poussant par le dos, et il nous introduisit dans une vaste salle humide, remplie de tablettes couvertes d'habits, vestes, pantalons, bottines de toutes couleurs et qui nous parurent avoir été portés.##Nous témoignions de la répugnance à endosser un pareil uniforme. ""Petit Polone télicat, dit le caporal en nous faisant asseoir sur des caisses ; allons habillir !"" reprit-il d'une voix terrible. Il nous délivra alors à chacun un habit-veste vert, taché et presque en morceaux, un pantalon rouge râpé, du double plus long et plus large qu'il ne fallait, des bottines moisies, à demi usées et un petit casque de cuir pestiféré. Nous nous regardons Julie et moi en témoignant de l'aversion ; mais il fallait se résigner. Nous nous hâtons de nous vêtir, pendant que Trench fumait gravement sa pipe, et nous achevions cette pénible toilette, lorsqu'en enfilant la manche de mon habit, je fais sortir un lambeau de chemise de mon prédécesseur et passe mes doigts par des trous de balles. De son côté, Julie pousse un cri d'horreur en entrant dans sa bottine et, la rejetant au loin, en fait sortir un pied qui y était resté. Ah ! ah ! petit Polone télicat, s'écrie aussitôt Trench en riant aux éclats et montrant deux rangées de dents qui semblaient faire le tour de sa tête ; li être trôle ! le boulet emporte la chambe et laisse le piede... et il continue d'étouffer de rire. Ce trait suffit pour peindre la férocité de cette soldatesque, et c'est avec de tels êtres que nous étions condamnés à vivre !"
624	Rousseau	Julie	641-642	VI.II	A l'appui de tout cela vint celui que le ciel destinait à faire le court bonheur de ma vie. Tu le sais, cousine, il était jeune, bien fait, honnête, attentif, complaisant; il ne savait pas aimer comme ton ami; mais c'était moi qu'il aimait; et quand on a le coeur libre, la passion qui s'adresse à nous a toujours quelque chose de contagieux. Je lui rendis donc du mien tout ce qu'il en restait à prendre; et sa part fut encore assez bonne pour ne lui pas laisser de regret à son choix. Avec cela, qu'avais-je à redouter? J'avoue même que les droits du sexe, joints à ceux du devoir, portèrent un moment préjudice aux tiens, et que, livrée à mon nouvel état, je fus d'abord plus épouse qu'amie; mais en revenant à toi je te rapportai deux coeurs au lieu d'un; et je n'ai pas oublié depuis que je suis restée seule chargée de cette double dette.##Que te dirai-je encore, ma douce amie? Au retour de notre ancien maître, c'était pour ainsi dire une nouvelle connaissance à faire. Je crus le voir avec d'autres yeux; je crus sentir en l'embrassant un frémissement qui jusque-là m'avait été inconnu. Plus cette émotion me fut délicieuse, plus elle me fit de peur. Je m'alarmai comme d'un crime d'un sentiment qui n'existait peut-être que parce qu'il n'était plus criminel. Je pensai trop que ton amant ne l'était plus et qu'il ne pouvait plus l'être; je sentis trop qu'il était libre et que je l'étais aussi. Tu sais le reste, aimable cousine; mes frayeurs, mes scrupules te furent connus aussitôt qu'à moi. Mon coeur sans expérience s'intimidait tellement d'un état si nouveau pour lui, que je me reprochais mon empressement de te rejoindre, comme s'il n'eût pas précédé le retour de cet ami. Je n'aimais point qu'il fût précisément où je désirais si fort d'être; et je crois que j'aurais moins souffert de sentir // ce désir plus tiède que d'imaginer qu'il ne fût pas tout pour toi. 
625	Rousseau	Julie	637-638	VI.I	Malgré les mécontentements passés, je n'ai pu sans attendrissement me retrouver au milieu de ma famille: j'y ai été reçue avec plaisir, ou du moins avec beaucoup de caresses. J'attends pour te parler de mon frère que j'aie fait connaissance avec lui. Avec une assez belle figure, il a l'air empesé du pays où il vient. Il est // sérieux et froid; je lui trouve même un peu de morgue: j'ai grand'peur pour la petite personne qu'au lieu d'être un aussi bon mari que les nôtres, il ne tranche un peu du seigneur et maître. 
627	Rousseau	Julie	598	V.VI	Voilà ce que vous aurez déjà su par M. de Wolmar; mais ce que probablement vous ne savez point encore, c'est que Mme d'Orbe, ayant enfin terminé ses affaires, est ici depuis jeudi, et n'aura plus d'autre demeure que celle de son amie. Comme j'étais prévenu du jour de son arrivée, j'allai au-devant d'elle à l'insu de Mme de Wolmar qu'elle voulait surprendre, et l'ayant rencontrée au deçà de Lutri, je revins sur mes pas avec elle.##Je la trouvai plus vive et plus charmante que jamais, mais inégale, distraite, n'écoutant point, répondant encore moins, parlant sans suite et par saillies, enfin livrée à cette inquiétude dont on ne peut se défendre sur le point d'obtenir ce qu'on a fortement désiré. On eût dit à chaque instant qu'elle tremblait de retourner en arrière. Ce départ, quoique longtemps différé, s'était fait si à la hâte que la tête en tournait à la maîtresse et aux domestiques. Il régnait un désordre risible dans le menu bagage qu'on amenait. A mesure que la femme de chambre craignait d'avoir oublié quelque chose, Claire assurait toujours l'avoir fait mettre dans le coffre du carrosse; et le plaisant, quand on y regarda, fut qu'il ne s'y trouva rien du tout. 
629	Rousseau	Julie	544-545	V.II	"Je trouve qu'elle se met avec plus de soin qu'elle ne // faisait autrefois. La seule vanité qu'on lui ait jamais reprochée était de négliger son ajustement. L'orgueilleuse avait ses raisons, et ne me laissait point de prétexte pour méconnaître son empire. Mais elle avait beau faire, l'enchantement était trop fort pour me sembler naturel; je m'opiniâtrais à trouver de l'art dans sa négligence; elle se serait coiffée d'un sac que je l'aurais accusée de coquetterie. Elle n'aurait pas moins de pouvoir aujourd'hui; mais elle dédaigne de l'employer; et je dirais qu'elle affecte une parure plus recherchée pour ne sembler plus qu'une jolie femme, si je n'avais découvert la cause de ce nouveau soin. J'y fus trompé les premiers jours; et, sans songer qu'elle n'était pas mise autrement qu'à mon arrivée où je n'étais point attendu, j'osai m'attribuer l'honneur de cette recherche. Je me désabusai durant l'absence de M. de Wolmar. Dès le lendemain ce n'était plus cette élégance de la veille dont l'oeil ne pouvait se lasser, ni cette simplicité touchante et voluptueuse qui m'enivrait autrefois; c'était une certaine modestie qui parle au coeur par les yeux, qui n'inspire que du respect, et que la beauté rend plus imposante. La dignité d'épouse et de mère régnait sur tous ses charmes; ce regard timide et tendre était devenu plus grave; et l'on eût dit qu'un air plus grand et plus noble avait voilé la douceur de ses traits. Ce n'était pas qu'il y eût la moindre altération dans son maintien ni dans ses manières; son égalité, sa candeur, ne connurent jamais les simagrées; elle usait seulement du talent naturel aux femmes de changer quelquefois nos sentiments et nos idées par un ajustement différent, par une coiffure d'une autre forme, par une robe d'une autre couleur, et d'exercer sur les coeurs l'empire du goût en faisant de rien quelque chose. Le jour qu'elle attendait son mari de retour, elle retrouva l'art d'animer ses grâces naturelles sans les couvrir; elle était éblouissante en sortant de sa toilette; je trouvai qu'elle ne savait pas moins effacer la plus brillante parure qu'orner la plus simple; et je me dis avec dépit, en pénétrant l'objet de ses soins: ""En fit-elle jamais autant pour l'amour?"" "
631	Rousseau	Julie	541-542	V.II	C'est ainsi, milord, que cette âme angélique trouve toujours dans ses vertus de quoi combattre les vaines subtilités dont les gens cruels pallient leurs vices. Tous ces soins et d'autres semblables sont mis par elle au rang de ses plaisirs, et remplissent une partie du temps que lui laissent ses devoirs les plus chéris. Quand, après s'être acquittée de tout ce qu'elle doit aux autres, elle songe ensuite à elle-même, ce qu'elle fait pour se rendre la vie agréable peut encore être compté parmi ses vertus; tant son motif est toujours louable et honnête, et tant il y a de tempérance et de raison dans tout ce qu'elle accorde à ses désirs! Elle veut plaire à son mari qui aime à la voir contente et gaie; elle veut inspirer à ses enfants le goût des innocents plaisirs que la modération, l'ordre et la simplicité font valoir, et qui détournent le coeur des passions impétueuses. Elle s'amuse pour les amuser, comme la colombe amollit dans son estomac le grain dont elle veut nourrir ses petits.##Julie a l'âme et le corps également sensibles. La même délicatesse règne dans ses sentiments et dans ses organes. Elle était fait pour connaître et goûter tous les plaisirs, et longtemps elle n'aima si chèrement la vertu même que comme la plus douce des voluptés. Aujourd'hui qu'elle sent en paix cette volupté suprême, elle ne se refuse aucune de celles qui peuvent s'associer avec celle-là: mais sa manière de les goûter ressemble à l'austérité de ceux qui s'y refusent, et l'art de jouir est pour elle celui des privations; non de ces privations pénibles et douloureuses qui blessent la nature, et dont son auteur dédaigne l'hommage insensé, mais des privations passagères et modérées qui conservent à la raison son empire, et servant d'assaisonnement au plaisir en préviennent le dégoût et l'abus. Elle prétend que tout ce qui tient aux sens et n'est pas nécessaire à la vie change de nature aussitôt qu'il tourne en habitude, qu'il cesse d'être un plaisir en devenant un besoin, que c'est à la fois une chaîne qu'on se // donne et une jouissance don on se prive, et que prévenir toujours les désirs n'est pas l'art de les contenter, mais de les éteindre. Tout celui qu'elle emploie à donner du prix aux moindres choses est de se les refuser vingt fois pour en jouir une. Cette âme simple se conserve ainsi son premier ressort: son goût ne s'use point; elle n'a jamais besoin de le ranimer par des excès, et je la vois souvent savourer avec délices un plaisir d'enfant qui serait insipide à tout autre.##Un objet plus noble qu'elle se propose encore en cela est de rester maîtresse d'elle-même, d'accoutumer ses passions à l'obéissance, et de plier tous ses désirs à la règle. C'est un nouveau moyen d'être heureuse; car on ne jouit sans inquiétude que de ce qu'on peut perdre sans peine; et si le vrai bonheur appartient au sage, c'est parce qu'il est de tous les hommes celui à qui la fortune peut le moins ôter. 
633	Rousseau	Julie	516-517	IV.17	"Nous nous mîmes tous aux rames; et presque au même instant j'eus la douleur de voir Julie saisie du mal de coeur, faible et défaillante au bord du bateau. Heureusement elle était faite à l'eau et cet état ne dura pas. Cependant nos efforts croissaient avec le danger; le soleil, la fatigue et la sueur nous mirent tous hors d'haleine et dans un épuisement excessif. C'est alors que, retrouvant tout son courage, Julie animait le nôtre par ses caresses compatissantes; elle nous essuyait indistinctement à tous le visage, et mêlant dans un vase du vin avec de l'eau de peur d'ivresse, elle en offrait alternativement aux plus épuisés. Non, jamais votre adorable amie ne brilla d'un si vif éclat que dans ce moment où la chaleur et l'agitation avaient animé son teint d'un plus grand feu; et ce qui ajoutait le plus à ses charmes était qu'on voyait si bien à son air attendri que tous ses soins venaient moins de frayeur pour elle que de compassion pour nous. Un instant seulement deux planches s'étant entr'ouvertes, dans un choc qui nous inonda tous, elle crut le bateau brisé; et dans une exclamation de cette tendre mère j'entendis distinctement ces mots: ""O mes enfants! faut-il ne vous voir plus?"" Pour moi, dont l'imagination va toujours plus loin que le mal, quoique je connusse au vrai l'état du // péril, je croyais voir de moment en moment le bateau englouti, cette beauté si touchante se débattre au milieu des flots, et la pâleur de la mort ternir les roses de son visage. "
637	Rousseau	Julie	426-428	IV.VII	
